field_name,field_description,comment,automated_collection_scope_flag
product_id,FMLV Product ID,PLEASE Leave as is!,
year,Model Year,PLEASE Leave as is!,
manufacturing_release_date,Manufacturer Release Date,PLEASE Leave as is!,
manufacturer,MANUFACTURER NAME of MOTORHOME OR CAMPERVAN,REQUIRED FIELD,in_scope
base_vehicle_manufacturer,Base vehicle manufacturer make (e.g. FIAT),REQUIRED FIELD,
manufacturer_display_name,Brand name of model,REQUIRED FIELD,in_scope
manufacturer_range,Range name,REQUIRED FIELD,in_scope
dealer_specials_range,"Or, Dealer EXCLUSIVE range name",LEAVE BLANK UNLESS DEALER EXCLUSIVE,
dealer,Dealer name,LEAVE BLANK UNLESS DEALER EXCLUSIVE,
model,Model variant (e.g. 60-4),REQUIRED FIELD,in_scope
dealer_model_variant,Or Dealer EXCLUSIVE model variant,LEAVE BLANK UNLESS DEALER EXCLUSIVE,
type_micro,Micro,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
type_campervan,Campervan,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
type_campervan_elevating_roof,Campervan elevating roof,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
type_campervan_high_top,Campervan high top,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
type_campervan_high_top_elevating_roof,Campervan high top elevating roof,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
type_coach_built_low_profile,Coach built low profile,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
type_coach_built_over_cab_bed,Coach built over cab bed,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
type_a_class,A class,SELECT 'YES' AGAINST ONE 'TYPE' PER MODEL IN THIS SECTION,
mh_passenger_seats_inc_driver,Passenger seats inc driver,REQUIRED FIELD,in_scope
berths,Berths ,REQUIRED FIELD,in_scope
rrp_pounds,RRP (£),REQUIRED FIELD,in_scope
price_min_range_pounds,Min price guide,NOT REQUIRED,
price_max_range_pounds,Max range,NOT REQUIRED,
mro_kilograms,MRO (kg),REQUIRED FIELD,in_scope
mtplm_kilograms,MTPLM (kg),REQUIRED FIELD,in_scope
mh_payload_kilograms,Payload (kg),REQUIRED FIELD,in_scope
mh_length_mm,Length (mm),REQUIRED FIELD,in_scope
mh_width_mm,Width (mm),REQUIRED FIELD,in_scope
mh_height_mm,Height (mm),REQUIRED FIELD,in_scope
sleeping_area_front,Front ,SELECT 'YES' AGAINST ONE 'SLEEPING AREA' OPTION ,
sleeping_area_rear,Rear ,SELECT 'YES' AGAINST ONE 'SLEEPING AREA' OPTION ,
sleeping_area_both,Both,SELECT 'YES' AGAINST ONE 'SLEEPING AREA' OPTION ,
