fmlv_manufacturer,fmlv_range,fmlv_model,fmlv_product_id,berths,mtplm_kilograms,rrp_pounds,fmlv_type,fmlv_sleeping_area,fmlv_bed_types,fmlv_kitchen_location,washroom_position,shower_toilet_separated,washroom_in_words,fmlv_bathroom_columns,should_be_yes,missing_flag,fmlv_bathroom_layout,fmlv_lounge_location,fmlv_heating,fmlv_refrigeration,fmlv_microwave,drawing_washroom_family,suggested_bathroom_layout,drawing_rear_bed,bathroom_verdict,needs_human_call,flag_kind,notes,bailey_description,floorplan_url,source_url
Bailey,Alicanto Grande Deluxe,Alvor,7860,4,1852,40499,type_rigid,both,"make_up, island",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,wet_central,fridge_freezer,yes,end,rear_shower_toilet,island,matches,,,,"Twin axle 8-ft wide model, with L-shaped front lounge and rear island king size bed, catering for up to 4 people",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/08/Alicanto-Grande-Deluxe-Alvor-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/alicanto-grande-deluxe/alicanto-grande-deluxe-alvor/
Bailey,Alicanto Grande Deluxe,Evora,7859,4,1867,40499,type_rigid,both,"make_up, island",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,wet_central,fridge_freezer,yes,end,rear_shower_toilet,transverse island,matches,,,,"Twin axle, 8-ft wide model for up to 4 people with parallel seat front lounge and rear island king size bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/08/Alicanto-Grande-Deluxe-Evora-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/alicanto-grande-deluxe/alicanto-grande-deluxe-evora/
Bailey,Alicanto Grande Deluxe,Porto,7858,4,1863,40499,type_rigid,both,"make_up, island",side,side,yes,"On the side, and separated — toilet and shower in facing compartments with a door each",side_shower_toilet,side_shower_toilet + separate_shower_toilet,separate_shower_toilet,side_shower_toilet,front,wet_central,fridge_freezer,yes,split,side_shower_toilet + separate_shower_toilet,island,flag missing,yes,flag_missing,,Twin axle 8-ft wide model for up to 4 people with parallel seat front lounge and rear island king size bed,https://www.baileyofbristol.co.uk/wp-content/uploads/2024/08/Alicanto-Grande-Deluxe-Porto-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/alicanto-grande-deluxe/alicanto-grande-deluxe-porto/
Bailey,Alicanto Grande Deluxe,Sintra,7857,4,1700,38699,type_rigid,both,"make_up, island",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,wet_central,fridge_freezer,yes,end,rear_shower_toilet,transverse island,matches,,,,"Single axle, 8-ft wide model for up to 4 people with parallel seat front lounge and rear island king size bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/08/Alicanto-Grande-Deluxe-Sintra-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/alicanto-grande-deluxe/alicanto-grande-deluxe-sintra/
Bailey,Discovery,D4-2,7397,2,998,19999,type_rigid,front,make_up,side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,blown_air,fridge_freezer,no,end,rear_shower_toilet,,matches,,,"2 berth, front lounge only","Compact single axle, 7’3” wide model for 2 people with parallel seat front lounge",https://www.baileyofbristol.co.uk/wp-content/smush-webp/2023/02/Bailey-Discovery-II-D4-2-Day-Layout.png.webp,https://www.baileyofbristol.co.uk/touring-caravans/discovery/discovery-d4-2/
Bailey,Discovery,D4-4,7398,4,1248,21499,type_rigid,both,"make_up, fixed",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,blown_air,fridge_freezer,no,end,rear_shower_toilet,corner double,matches,,,,"Compact single axle, 7’3” wide model for up to 4 people with parallel seat front lounge and rear corner double bed",https://www.baileyofbristol.co.uk/wp-content/smush-webp/2023/02/Bailey-Discovery-II-D4-4-Day-Layout.png.webp,https://www.baileyofbristol.co.uk/touring-caravans/discovery/discovery-d4-4/
Bailey,Discovery,D4-4L,7399,4,1083,21499,type_rigid,front,"make_up, fixed",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,blown_air,fridge_freezer,no,end,rear_shower_toilet,side dinette + fold-out bunk,matches,yes,beds,"Bed sizes list a rear single and a rear fold-out bunk, so the sleeping area looks like both rather than front","Compact single axle, 7’3” wide model for up to 4 people with parallel seat front lounge and side dinette",https://www.baileyofbristol.co.uk/wp-content/smush-webp/2023/02/Bailey-Discovery-II-D4-4L-Day-Layout.png.webp,https://www.baileyofbristol.co.uk/touring-caravans/discovery/discovery-d4-4-l/
Bailey,Pegasus Black Edition,Amalfi,7680,6,1754,32499,type_rigid,both,"make_up, fixed, transverse, fixed_bunks",side,side,yes,"On the side, and separated — toilet and shower in facing compartments with a door each",side_shower_toilet,side_shower_toilet + separate_shower_toilet,separate_shower_toilet,side_shower_toilet,front,blown_air,fridge_freezer,yes,split,side_shower_toilet + separate_shower_toilet,corner double + twin bunks,flag missing,yes,flag_missing,,"Twin axle, 8-ft wide model for up to 6 people with parallel seat front lounge rear corner king size bed and twin single bunks",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Pegasus-Black-Amalfi-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/pegasus-black-edition/pegasus-black-edition-amalfi/
Bailey,Pegasus Black Edition,Bologna,4109,4,1689,32498,type_rigid,both,"make_up, fixed, transverse",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",side_shower_toilet,rear_shower_toilet,rear_shower_toilet,side_shower_toilet,front,blown_air,fridge_freezer,yes,end,rear_shower_toilet,transverse,wrong flag,yes,position_wrong,Bailey's own copy calls it an island bed; the drawing shows it against the washroom wall,"Twin axle, 8-ft wide model for up to 4 people with C-shaped front lounge and rear island king size bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Pegasus-Black-Bologna-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/pegasus-black-edition/pegasus-black-edition-bologna/
Bailey,Pegasus Black Edition,Brindisi,4111,4,1535,29799,type_rigid,both,"make_up, fixed, transverse",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",side_shower_toilet,rear_shower_toilet,rear_shower_toilet,side_shower_toilet,front,blown_air,fridge_freezer,yes,end,rear_shower_toilet,transverse,wrong flag,yes,position_wrong,Bailey's own copy calls it an island bed; the drawing shows it against the washroom wall,"Single axle, 8-ft wide model for up to 4 people with C-shaped front lounge and rear island king size bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Pegasus-Black-Brindisi-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/pegasus-black-edition/pegasus-black-edition-brindisi/
