manufacturer_key,fmlv_manufacturer,fmlv_display_name,categories,status,pilot_priority,country,website_url,uk_site_url,models_index_url,price_list_url,brochure_url,specs_format,needs_javascript,login_required,ncc_member,contact_name,contact_email,contact_phone,last_verified,notes
adria,Adria Mobil,Adria,"motorhome,caravan",active,1,SI,https://www.adria-mobil.com/,https://www.adria.co.uk/,,,,unknown,unknown,no,yes,,,,,"Worked example - 42 motorhomes + 12 caravans in the sample export. UK importer site may differ from group site."
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
,,,,active,,,,,,,,unknown,unknown,no,,,,,,
